expiry,T,days,n_points,a,b,rho,m,sigma,rmse_total_var,rmse_iv,rmse_iv_bps,max_abs_err_iv_bps,r_squared,atm_total_var,atm_iv,wing_slope_left,wing_slope_right,min_total_variance,butterfly_ok,min_durrleman_g,penalised_refit,k_min,k_max,converged
2026-09-09,0.019215,7.01,57,-0.0003835893155461329,0.013817315529921291,-0.9231429043067869,-0.0530764850264481,0.0722096152238846,4.131945210862059e-06,0.0010757028249269644,10.757028249269643,53.941195278322944,0.9991985767393977,0.000177677962023748,0.09616102708569466,0.026572672317936103,0.0010619587419064798,-2.9037644250912154e-11,False,0.04454818880259681,True,-0.05202199499152,0.02218422346576382,True
2026-09-11,0.024694,9.01,73,-0.0010789190584587867,0.025094638476843692,-0.904410015739364,-0.08660130509044259,0.10076772426064748,8.632577479539805e-06,0.0016869396696197081,16.869396696197082,70.85281579871317,0.9989229659927515,0.0002898672008961724,0.10834323302068537,0.047790480856659545,0.0023987960970278397,-1.1732640141544348e-10,False,0.005054501438734239,False,-0.06769442272791981,0.028123500169313646,True
2026-09-25,0.06305,23.01,108,-0.002387153297350601,0.033525991699556494,-0.03634595905490376,0.038951264264097264,0.08832425438675773,3.6196308064193306e-05,0.0020215120649229447,20.215120649229448,60.895988623972805,0.9976062467108706,0.0008966321344350942,0.11925133370177998,0.03474452602114362,0.03230745737796937,0.0005720483881612058,True,9.300694199085996e-05,True,-0.11854307808789023,0.06744820759502682,False
2026-10-02,0.082228,30.01,118,-0.004158855653906589,0.042552204151071645,-0.0670417769766896,0.041270292905819905,0.11669440050798864,3.1569137386710924e-05,0.0014499057574946447,14.499057574946447,68.6569646340833,0.9989581249686238,0.0012258761933708886,0.12209902121586846,0.04540497953163435,0.039699428770508936,0.000795576531083554,True,9.99999026079848e-05,True,-0.13383202683935677,0.08632198562648698,False
2026-10-16,0.120585,44.01,125,-0.008555304693817073,0.05955538618712459,-0.11125157525189133,0.04178488629079056,0.16591468521149244,4.377594745050393e-05,0.0013717686506000424,13.717686506000424,77.21663154085608,0.9993443593515018,0.0019112032518806468,0.12589469787363677,0.06618101671517693,0.05292975565907225,0.0012644692306662715,True,9.999994371354126e-05,True,-0.173542666592979,0.11993652354312782,False
2026-11-20,0.216475,79.01,66,-0.017338774002642034,0.08931799493525615,-0.11373547293444086,0.05691411365174095,0.22574173779856746,3.4491969772868494e-05,0.00048238782496226633,4.8238782496226635,15.066849081552258,0.9999535174448007,0.0040331439013431905,0.13649537383532107,0.0994766193307735,0.0791593705397388,0.0026931903561057124,True,9.61589510254865e-05,True,-0.2497677763438195,0.1830963059524594,False
2026-12-18,0.293187,107.01,84,-0.019311213376228965,0.098583628006964,-0.18090986504691836,0.05346599306835919,0.23924004426509216,4.623918326207529e-05,0.0004569303362909923,4.569303362909923,16.522012658111983,0.9999598992046259,0.005809289028431003,0.1407631105373023,0.11641837884553946,0.08074887716838855,0.0038847756065283276,True,0.018815085060066468,False,-0.3029341719084723,0.2541722044215246,True
2027-01-15,0.3699,135.01,92,-0.024881792614409235,0.1122562947502014,-0.17659261999914594,0.06342840033361952,0.2702718962665841,6.70563816977934e-05,0.0004762464893903694,4.762464893903695,18.253606986586014,0.9999494066397082,0.00753961426472614,0.14276855647980438,0.13207992795153584,0.09243266154886697,0.00498111080093783,True,0.016205856639302484,False,-0.3409024095044837,0.26688492210430476,True
2027-03-19,0.542502,198.01,112,-0.04797205752826077,0.15034166492897325,-0.13434303006954093,0.09894643230981633,0.3751295284471263,0.00016969047156717134,0.000752681019843268,7.52681019843268,28.036583367485324,0.9998804499094024,0.012352873103174913,0.15089788000041443,0.17053901974123115,0.13014431011671534,0.00791428974481781,True,9.99989933999218e-05,True,-0.44292338942183646,0.35458380646235166,False
2027-06-17,0.789078,288.01,140,-0.0708877707094489,0.17965553856047078,-0.13850056610144798,0.13636215684162928,0.4682768307388424,0.0004517096958644902,0.0014149732105,14.149732105,32.07542929720197,0.9996553833390406,0.020128140141995057,0.15971360533507195,0.20453793235435652,0.15477314476658505,0.012429954599264631,True,9.14562311785383e-05,True,-0.5685701144747005,0.45622226195814186,False
2027-09-17,1.041133,380.01,165,-0.08770899913164623,0.20214314285770146,-0.1156123410653764,0.18125964097241373,0.5243552014853432,0.0008251100622759943,0.0020120255345064232,20.120255345064233,47.24707176355675,0.9993519849610127,0.028676170113693597,0.1659615774752894,0.22551338483379316,0.17877290088160977,0.017575051631475158,True,9.694244709781974e-05,True,-0.6714920242923595,0.5688484242044515,True
2028-01-21,1.386338,506.01,185,-0.11097769113511798,0.23129937939436085,-0.08620260691432388,0.23430260822093626,0.5911073735570149,0.0014375539453950373,0.002450781824229119,24.50781824229119,75.85130208966979,0.9989713872014973,0.04076576326565727,0.1714798973831267,0.25123798887582,0.2113607699129017,0.025236144415845527,True,9.981068521081049e-05,True,-0.8287823125363123,0.613081899738389,True
