expiry,T,days,forward,forward_source,n_points
2026-09-25,0.02190130260965246,7.993975452523149,762.0384795513651,put_call_parity,73
2026-10-02,0.041079384801433284,14.993975452523149,762.0372269477449,put_call_parity,101
2026-10-16,0.07943554918499493,28.99397545252315,763.2301772956953,put_call_parity,117
2026-10-23,0.09861363137677576,35.99397545252315,764.3162449855921,put_call_parity,125
2026-11-20,0.17532596014389903,63.993975452523145,766.5532398680912,put_call_parity,60
2026-12-18,0.2520382889110223,91.99397545252315,768.250569330459,put_call_parity,76
2027-01-15,0.3287506176781456,119.99397545252315,770.2302458489651,put_call_parity,90
2027-02-26,0.4438191108288305,161.99397545252313,774.16120153264,put_call_parity,130
2027-03-31,0.5342300697329401,194.99397545252313,776.0223206423718,put_call_parity,125
2027-06-17,0.7479286998699264,272.9939754525231,782.972347752926,put_call_parity,134
2027-09-17,0.9999834943904744,364.99397545252316,790.5034124802971,put_call_parity,163
2028-01-21,1.3451889738425291,490.9939754525231,799.6205440352716,put_call_parity,184
